route_id,parking_number
23308,104
27793,114
21657,81
27749,82
27796,83
21665,84
20484,85
28513,86
27789,87
20483,88
21682,89
27828,90
21436,91
28048,92
21061,93
21684,94
27727,95
21661,96
27728,97
21686,98
27795,99
27791,100
28046,101
21659,102
26515,103
24551,105
27790,106
21688,108
21689,109
20639,110
24939,111
26895,112
21660,113
27785,116
21690,132
27787,177
25689,187
27867,201
26894,202
27007,203
28149,204
28150,205
28544,206
20643,277
25423,403
25567,404
27860,12
27740,13
25101,401
14770,441
20642,445
25732,3
25733,4
25735,6
27807,10
25846,11
25891,13
26487,14
26488,15
27808,16
26748,17
27627,23
27694,24
27695,25